Date,Open,High,Low,Close,Volume
1986-08-14,0.2053,0.2125,0.2053,0.2053,2080000
1986-08-15,0.2053,0.2053,0.2015,0.2015,2166400
1986-08-18,0.2015,0.2015,0.1943,0.1943,1414400
1986-08-19,0.1978,0.2015,0.1978,0.1978,1030400
1986-08-20,0.1978,0.2087,0.1978,0.1978,342400
1986-08-21,0.2053,0.2159,0.2053,0.2053,441600
1986-08-22,0.2053,0.2125,0.2053,0.2053,867200
1986-08-25,0.2053,0.2053,0.1978,0.1978,313600
1986-08-26,0.1978,0.2053,0.1978,0.1978,396800
1986-08-27,0.1978,0.2015,0.1978,0.1978,1270400
1986-08-28,0.1978,0.2015,0.1889,0.1889,777600
1986-08-29,0.1889,0.2015,0.1889,0.1889,774400
1986-09-02,0.2053,0.2125,0.2053,0.2053,534400
1986-09-03,0.2053,0.2159,0.2053,0.2053,201600
1986-09-04,0.2303,0.2375,0.2303,0.2303,902400
1986-09-05,0.2303,0.2375,0.2266,0.2266,1068800
1986-09-08,0.2266,0.2341,0.2231,0.2231,246400
1986-09-09,0.2303,0.2413,0.2303,0.2303,249600
1986-09-10,0.2413,0.2519,0.2413,0.2413,467200
1986-09-11,0.2231,0.2231,0.2125,0.2125,899200
1986-09-12,0.2159,0.2231,0.2159,0.2159,643200
1986-09-15,0.2375,0.2465,0.2375,0.2375,499200
1986-09-16,0.2465,0.2591,0.2465,0.2465,627200
1986-09-17,0.2663,0.2735,0.2663,0.2663,678400
1986-09-18,0.2663,0.2753,0.2663,0.2663,176000
1986-09-19,0.2663,0.2753,0.2663,0.2663,512000
1986-09-22,0.2663,0.2663,0.2554,0.2554,390400
1986-09-23,0.2554,0.2591,0.2465,0.2465,899200
1986-09-24,0.2519,0.2629,0.2519,0.2519,656000
1986-09-25,0.2519,0.2591,0.2447,0.2447,828800
1986-09-26,0.2447,0.2554,0.2447,0.2447,384000
1986-09-29,0.2465,0.2554,0.2465,0.2465,236800
1986-09-30,0.2465,0.2629,0.2465,0.2465,96000
1986-10-01,0.2465,0.2629,0.2465,0.2465,185600
1986-10-02,0.2465,0.2629,0.2465,0.2465,112000
1986-10-03,0.2465,0.2591,0.2465,0.2465,22400
1986-10-06,0.2519,0.2629,0.2519,0.2519,64000
1986-10-07,0.2519,0.2629,0.2519,0.2519,99200
1986-10-08,0.2519,0.2629,0.2519,0.2519,102400
1986-10-09,0.2519,0.2629,0.2519,0.2519,396800
1986-10-10,0.2519,0.2629,0.2519,0.2519,112000
1986-10-13,0.2554,0.2629,0.2554,0.2554,227200
1986-10-14,0.2554,0.2663,0.2554,0.2554,240000
1986-10-15,0.2554,0.2663,0.2554,0.2554,176000
1986-10-16,0.2554,0.2554,0.2554,0.2554,0
1986-10-17,0.2554,0.2663,0.2554,0.2554,41600
1986-10-20,0.2554,0.2663,0.2554,0.2554,22400
1986-10-21,0.2629,0.2701,0.2629,0.2629,163200
1986-10-22,0.2663,0.2735,0.2663,0.2663,550400
1986-10-23,0.2701,0.2753,0.2701,0.2701,371200
1986-10-24,0.2917,0.2989,0.2917,0.2917,825600
1986-10-27,0.2951,0.3023,0.2951,0.2951,364800
1986-10-28,0.2951,0.3023,0.2951,0.2951,902400
1986-10-29,0.3239,0.3311,0.3239,0.3239,5833600
1986-10-30,0.3418,0.3455,0.3418,0.3418,1075200
1986-10-31,0.3418,0.3418,0.3346,0.3346,995200
1986-11-03,0.3328,0.3328,0.3239,0.3239,694400
1986-11-04,0.3239,0.3239,0.3167,0.3167,1001600
1986-11-05,0.3167,0.3239,0.3130,0.3130,547200
1986-11-06,0.3205,0.3277,0.3205,0.3205,1164800
1986-11-07,0.3239,0.3328,0.3239,0.3239,547200
1986-11-10,0.3311,0.3383,0.3311,0.3311,1264000
1986-11-11,0.3311,0.3328,0.3311,0.3311,438400
1986-11-12,0.3311,0.3383,0.3311,0.3311,220800
1986-11-13,0.3311,0.3328,0.3277,0.3277,275200
1986-11-14,0.3311,0.3383,0.3311,0.3311,224000
1986-11-17,0.3311,0.3328,0.3277,0.3277,342400
1986-11-18,0.3277,0.3311,0.3205,0.3205,531200
1986-11-19,0.3205,0.3277,0.3205,0.3205,182400
1986-11-20,0.3205,0.3277,0.3205,0.3205,227200
1986-11-21,0.3205,0.3277,0.3205,0.3205,44800
1986-11-24,0.3205,0.3277,0.3205,0.3205,128000
1986-11-25,0.3205,0.3277,0.3205,0.3205,259200
1986-11-26,0.3400,0.3455,0.3400,0.3400,832000
1986-11-28,0.3527,0.3599,0.3527,0.3527,259200
1986-12-01,0.3527,0.3599,0.3492,0.3492,342400
1986-12-02,0.3564,0.3616,0.3564,0.3564,454400
1986-12-03,0.3564,0.3599,0.3527,0.3527,211200
1986-12-04,0.3564,0.3616,0.3564,0.3564,742400
1986-12-05,0.3616,0.3706,0.3616,0.3616,816000
1986-12-08,0.3815,0.3887,0.3815,0.3815,1360000
1986-12-09,0.3743,0.3743,0.3671,0.3671,2281600
1986-12-10,0.3671,0.3743,0.3671,0.3671,1596800
1986-12-11,0.3455,0.3455,0.3418,0.3418,3667200
1986-12-12,0.3455,0.3564,0.3455,0.3455,246400
1986-12-15,0.3455,0.3527,0.3418,0.3418,140800
1986-12-16,0.3418,0.3418,0.3383,0.3383,2102400
1986-12-17,0.3383,0.3383,0.3328,0.3328,1558400
1986-12-18,0.3383,0.3418,0.3383,0.3383,483200
1986-12-19,0.3383,0.3455,0.3383,0.3383,310400
1986-12-22,0.3383,0.3492,0.3383,0.3383,899200
1986-12-23,0.3527,0.3599,0.3527,0.3527,1859200
1986-12-24,0.3616,0.3706,0.3616,0.3616,768000
1986-12-26,0.3671,0.3743,0.3671,0.3671,32000
1986-12-29,0.3616,0.3616,0.3564,0.3564,1174400
1986-12-30,0.3599,0.3671,0.3599,0.3599,272000
1986-12-31,0.3671,0.3780,0.3671,0.3671,1760000
1987-01-02,0.3743,0.3815,0.3743,0.3743,332800
1987-01-05,0.3852,0.3904,0.3852,0.3852,371200
1987-01-06,0.3887,0.3993,0.3887,0.3887,1552000
1987-01-07,0.3904,0.3993,0.3904,0.3904,1184000
1987-01-08,0.4068,0.4103,0.4068,0.4068,1017600
1987-01-09,0.4068,0.4175,0.4068,0.4068,956800
1987-01-12,0.4247,0.4319,0.4247,0.4247,1628800
1987-01-13,0.4319,0.4391,0.4319,0.4319,1136000
1987-01-14,0.4428,0.4463,0.4428,0.4428,1273600
1987-01-15,0.4463,0.4535,0.4463,0.4463,2300800
1987-01-16,0.4480,0.4569,0.4480,0.4480,2528000
1987-01-19,0.4679,0.4751,0.4679,0.4679,3760000
1987-01-20,0.5004,0.5111,0.5004,0.5004,3558400
1987-01-21,0.5004,0.5056,0.4967,0.4967,1001600
1987-01-22,0.4967,0.5039,0.4895,0.4895,1209600
1987-01-23,0.5255,0.5327,0.5255,0.5255,2998400
1987-01-26,0.5220,0.5220,0.5111,0.5111,1984000
1987-01-27,0.5183,0.5255,0.5183,0.5183,752000
1987-01-28,0.5183,0.5255,0.5183,0.5183,268800
1987-01-29,0.5056,0.5056,0.4967,0.4967,518400
1987-01-30,0.4967,0.4967,0.4895,0.4895,720000
1987-02-02,0.4967,0.5004,0.4967,0.4967,640000
1987-02-03,0.4967,0.5183,0.4967,0.5111,4179200
1987-02-04,0.5111,0.5183,0.5111,0.5183,2246400
1987-02-05,0.5183,0.5327,0.5145,0.5327,2032000
1987-02-06,0.5327,0.5327,0.5255,0.5327,1177600
1987-02-09,0.5327,0.5433,0.5327,0.5327,1158400
1987-02-10,0.5344,0.5471,0.5344,0.5399,1280000
1987-02-11,0.5399,0.5830,0.5344,0.5830,2412800
1987-02-12,0.5868,0.6156,0.5868,0.6156,1875200
1987-02-13,0.6156,0.6444,0.6046,0.6444,1203200
1987-02-17,0.6444,0.6585,0.6406,0.6550,1043200
1987-02-18,0.6550,0.6732,0.6478,0.6622,1142400
1987-02-19,0.6622,0.6732,0.6190,0.6372,1718400
1987-02-20,0.6334,0.6334,0.5686,0.5796,4707200
1987-02-23,0.5796,0.6118,0.5758,0.5974,3795200
1987-02-24,0.6084,0.6406,0.6084,0.6334,2064000
1987-02-25,0.6334,0.6550,0.6334,0.6406,1993600
1987-02-26,0.6406,0.6496,0.6406,0.6406,940800
1987-02-27,0.6406,0.6550,0.6406,0.6550,176000
