date,volume,open,high,low,close
2024-02-26,2278614,13.31,13.75,13.20,13.68
2024-02-23,2319731,13.30,13.79,13.12,13.51
2024-02-22,1817822,13.50,13.65,13.34,13.36
2024-02-21,1731270,13.46,13.67,13.23,13.41
2024-02-20,3784513,13.96,14.05,13.16,13.49
2024-02-16,2301927,14.46,14.53,14.10,14.12
2024-02-15,2400542,14.54,14.75,14.23,14.51
2024-02-14,2504419,14.33,14.43,14.05,14.41
2024-02-13,3788691,14.20,14.40,13.77,14.17
2024-02-12,2750144,14.58,15.22,14.53,14.73
2024-02-09,3575284,14.37,15.23,14.30,14.66
2024-02-08,1838274,14.01,14.44,13.89,14.35
2024-02-07,1947793,14.12,14.30,13.78,14.07
2024-02-06,3052466,13.60,14.30,13.43,14.10
2024-02-05,4361519,14.50,14.61,13.40,13.46
2024-02-02,2924462,14.15,14.92,14.08,14.73
2024-02-01,2220154,14.34,14.42,14.02,14.42
2024-01-31,2684680,14.40,14.83,14.22,14.23
2024-01-30,1652561,14.54,14.82,14.51,14.55
2024-01-29,2164235,14.50,14.81,14.32,14.78
2024-01-26,2288830,14.44,14.72,14.41,14.49
2024-01-25,3635866,13.97,14.54,13.92,14.52
2024-01-24,2513801,14.28,14.38,13.82,13.95
2024-01-23,3495270,15.00,15.02,14.05,14.18
2024-01-22,3606547,14.50,15.16,14.30,14.90
2024-01-19,2396197,14.36,14.60,14.09,14.51
2024-01-18,3906004,14.20,14.77,14.05,14.29
2024-01-17,2706197,13.86,14.11,13.71,14.08
2024-01-16,3581167,14.60,14.62,13.93,13.98
2024-01-12,2479772,15.30,15.62,14.73,14.75
2024-01-11,2992177,15.65,15.80,15.24,15.25
2024-01-10,3191714,15.12,15.76,14.97,15.73
2024-01-09,3105267,15.59,15.62,15.12,15.16
2024-01-08,3031109,15.78,16.12,15.70,15.79
2024-01-05,2619192,16.16,16.52,15.96,15.96
2024-01-04,2671512,16.51,16.75,16.31,16.36
2024-01-03,4193550,16.30,16.83,15.90,16.69
2024-01-02,4428020,17.25,17.60,16.58,16.67
2023-12-29,4536656,18.04,18.16,17.46,17.53
2023-12-28,3574783,18.05,18.32,17.85,18.07
2023-12-27,4800071,17.43,18.37,17.37,18.37
2023-12-26,3079617,16.98,17.41,16.82,17.36
2023-12-22,3329896,16.78,17.20,16.45,16.97
2023-12-21,3975273,17.19,17.34,16.59,16.98
2023-12-20,5552971,17.53,18.38,16.89,16.93
2023-12-19,5447123,17.89,18.59,17.23,17.72
2023-12-18,7352153,17.24,18.51,17.10,17.86
2023-12-15,7119134,17.40,17.58,17.01,17.26
2023-12-14,10750750,17.14,17.88,16.80,17.44
2023-12-13,9086880,15.22,16.80,15.19,16.69
2023-12-12,4210660,15.12,15.36,14.84,15.22
2023-12-11,4961223,15.45,15.69,14.98,15.07
2023-12-08,10401390,15.83,16.48,15.47,15.55
2023-12-07,19840670,13.71,16.52,13.56,16.36
2023-12-06,12691340,15.36,15.70,14.64,14.84
2023-12-05,14220060,16.47,16.72,14.87,14.91
2023-12-04,20098660,15.29,17.41,14.91,16.98
2023-12-01,13378650,14.52,15.99,14.50,15.30
2023-11-30,16537170,16.29,16.33,14.32,14.55
2023-11-29,61172840,15.49,17.56,14.70,16.25
2023-11-28,14192940,11.90,13.55,11.89,13.49
2023-11-27,3710572,12.18,12.33,11.89,11.91
2023-11-24,1232474,12.22,12.41,12.18,12.20
2023-11-22,2362461,12.56,12.71,12.19,12.29
2023-11-21,3710097,12.65,12.72,12.26,12.55
2023-11-20,2301584,13.00,13.20,12.80,12.80
2023-11-17,3422596,12.52,13.06,12.52,13.03
2023-11-16,3425773,13.14,13.19,12.52,12.53
2023-11-15,4121561,13.15,13.50,13.03,13.27
2023-11-14,5187534,12.75,13.39,12.69,12.90
2023-11-13,4318457,12.50,12.53,11.83,12.14
2023-11-10,3875692,12.81,12.97,12.35,12.54
2023-11-09,2750115,13.25,13.32,12.70,12.70
2023-11-08,1705621,13.51,13.76,13.28,13.28
2023-11-07,2354364,13.47,13.79,13.23,13.64
2023-11-06,2164399,13.99,14.05,13.49,13.53
2023-11-03,2966237,13.90,14.40,13.83,13.87
2023-11-02,3566585,13.37,13.70,13.28,13.64
2023-11-01,3430138,13.78,13.80,13.01,13.01
2023-10-31,4574637,12.85,13.90,12.82,13.77
2023-10-30,3475939,13.15,13.27,12.59,12.80
2023-10-27,2481701,13.51,13.62,13.02,13.12
2023-10-26,2036419,13.73,13.80,13.41,13.50
2023-10-25,1967280,14.01,14.01,13.61,13.71
2023-10-24,3738325,13.59,14.30,13.55,14.04
2023-10-23,2785462,13.28,13.59,13.04,13.44
2023-10-20,3661770,13.18,13.80,13.12,13.44
2023-10-19,5808038,13.80,13.85,12.90,13.16
2023-10-18,4045789,14.00,14.25,13.81,13.85
2023-10-17,3842428,14.25,14.83,14.10,14.12
2023-10-16,3508601,14.81,14.93,14.15,14.43
2023-10-13,1835601,14.92,15.11,14.78,14.92
2023-10-12,3180340,15.77,15.80,14.82,15.09
2023-10-11,2098203,16.01,16.09,15.74,15.82
2023-10-10,2915872,15.50,16.19,15.40,16.00
2023-10-09,2276323,14.77,15.50,14.72,15.40
2023-10-06,2467053,14.59,15.26,14.58,15.08
2023-10-05,1945094,14.70,14.98,14.58,14.71
2023-10-04,2586368,14.77,14.94,14.44,14.87
2023-10-03,4510325,15.29,15.29,14.57,14.60
2023-10-02,6087651,16.30,16.31,15.26,15.39
2023-09-29,3397024,17.05,17.26,16.40,16.46
2023-09-28,7431938,18.02,18.10,16.44,16.84
2023-09-27,1681325,16.87,17.26,16.81,17.15
2023-09-26,2726813,17.38,17.82,16.78,16.78
2023-09-25,2181230,17.00,17.72,16.85,17.67
2023-09-22,2102886,17.18,17.35,17.00,17.18
2023-09-21,2913533,17.28,17.32,16.65,17.02
2023-09-20,2134121,17.63,17.93,17.45,17.52
2023-09-19,2584791,17.59,17.64,17.13,17.52
2023-09-18,3694591,17.99,18.10,17.35,17.55
2023-09-15,6166608,18.36,18.61,18.15,18.22
2023-09-14,3077962,17.80,18.52,17.60,18.33
2023-09-13,3012556,17.31,17.93,17.27,17.81
2023-09-12,5179405,17.53,18.50,17.19,17.23
2023-09-11,3543797,17.85,17.85,16.90,17.02
2023-09-08,4694034,18.15,18.50,17.35,17.71
2023-09-07,5021288,19.13,19.48,17.61,18.89
2023-09-06,6107245,19.06,19.15,18.42,18.75
2023-09-05,3781292,18.45,19.34,18.26,19.23
2023-09-01,2135901,18.66,18.73,18.32,18.42
2023-08-31,4674143,18.41,19.42,18.15,18.55
2023-08-30,1884501,18.20,18.53,17.91,18.37
2023-08-29,2709238,17.60,18.55,17.60,18.24
2023-08-28,3007418,17.35,18.11,17.25,17.57
2023-08-25,3423462,16.50,17.18,16.45,17.13
2023-08-24,3624485,16.94,16.98,16.18,16.36
2023-08-23,2909054,17.25,17.34,16.88,16.89
2023-08-22,3791911,18.62,18.62,17.25,17.26
