Date,Open,High,Low,Close,Volume
2002-02-13,1.6166,1.6896,1.5998,1.6880,76216000
2002-02-14,1.7090,1.7123,1.6670,1.6796,11021600
2002-02-15,1.6838,1.6838,1.6544,1.6712,8389600
2002-02-19,1.6628,1.6628,1.5746,1.6040,7410400
2002-02-20,1.6586,1.6586,1.5998,1.6586,6892800
2002-02-21,1.6527,1.6670,1.6376,1.6544,6976800
2002-02-22,1.6670,1.6670,1.6124,1.6250,3525600
2002-02-25,1.6208,1.6502,1.6023,1.6376,3453600
2002-02-26,1.6292,1.6544,1.6031,1.6376,2761600
2002-02-27,1.6250,1.6258,1.5956,1.6082,4091200
2002-02-28,1.6124,1.6334,1.6040,1.6040,2751200
2002-03-01,1.5998,1.6418,1.5939,1.6267,1913600
2002-03-04,1.6334,1.6636,1.6309,1.6544,3180800
2002-03-05,1.6460,1.6502,1.6090,1.6166,3444800
2002-03-06,1.6157,1.6317,1.6124,1.6250,1316800
2002-03-07,1.6250,1.7299,1.6250,1.7148,2700800
2002-03-08,1.7048,1.7635,1.7048,1.7551,1600800
2002-03-11,1.7467,1.7971,1.7425,1.7778,5462400
2002-03-12,1.8391,1.8391,1.7635,1.7803,5819200
2002-03-13,1.7803,1.8055,1.7341,1.7652,5063200
2002-03-14,1.7803,1.7803,1.7501,1.7635,1696800
2002-03-15,1.7635,1.7719,1.6712,1.7090,1708000
2002-03-18,1.7131,1.7131,1.5998,1.6208,2207200
2002-03-19,1.6334,1.6376,1.5620,1.5704,3229600
2002-03-20,1.5578,1.5578,1.4276,1.5133,9236000
2002-03-21,1.6166,1.6166,1.5133,1.5746,4427200
2002-03-22,1.5746,1.6451,1.5544,1.6208,2494400
2002-03-25,1.6376,1.6636,1.6107,1.6560,7571200
2002-03-26,1.6796,1.6880,1.6611,1.6779,1816800
2002-03-27,1.7635,1.7635,1.6712,1.7299,1369600
2002-03-28,1.7215,1.7299,1.6880,1.6964,1714400
2002-04-01,1.6838,1.6838,1.5956,1.5998,1880000
2002-04-02,1.5956,1.5956,1.5410,1.5653,2098400
2002-04-03,1.5662,1.5788,1.5486,1.5620,567200
2002-04-04,1.5578,1.5998,1.5578,1.5914,763200
2002-04-05,1.5914,1.6292,1.5528,1.5528,837600
2002-04-08,1.5620,1.5620,1.4923,1.5368,1558400
2002-04-09,1.5284,1.6124,1.5284,1.5914,3562400
2002-04-10,1.5872,1.5998,1.5746,1.5889,1302400
2002-04-11,1.5880,1.5880,1.5536,1.5536,1444000
2002-04-12,1.5662,1.5662,1.5166,1.5326,1236000
2002-04-15,1.5284,1.5595,1.5276,1.5586,1559200
2002-04-16,1.5746,1.6124,1.5746,1.5956,1225600
2002-04-17,1.6166,1.7006,1.6166,1.6636,3348800
2002-04-18,1.6636,1.6922,1.6577,1.6636,984800
2002-04-19,1.6636,1.7090,1.6636,1.7022,646400
2002-04-22,1.6922,1.6922,1.6636,1.6796,772800
2002-04-23,1.6754,1.7006,1.6376,1.6418,824800
2002-04-24,1.6392,1.6468,1.6292,1.6300,1064800
2002-04-25,1.6300,1.6300,1.6099,1.6292,1727200
2002-04-26,1.6208,1.6443,1.6166,1.6166,1653600
2002-04-29,1.6082,1.6082,1.5788,1.5872,2562400
2002-04-30,1.5746,1.6208,1.5704,1.5998,6894400
2002-05-01,1.6208,1.7215,1.6208,1.7215,1672000
2002-05-02,1.7131,1.7627,1.7131,1.7493,3316000
2002-05-03,1.7467,1.7476,1.7266,1.7467,463200
2002-05-06,1.7459,1.8971,1.7459,1.8265,2146400
2002-05-07,1.8181,1.8475,1.8013,1.8055,452800
2002-05-08,1.8223,1.8895,1.8223,1.8811,658400
2002-05-09,1.8895,1.9483,1.8895,1.9189,847200
2002-05-10,1.9315,1.9676,1.8475,1.8526,696000
2002-05-13,1.8534,1.8534,1.7509,1.8055,1929600
2002-05-14,1.8475,1.8811,1.7467,1.7467,3958400
2002-05-15,1.7383,1.7635,1.6670,1.6670,5829600
2002-05-16,1.6670,1.7383,1.6670,1.7299,5286400
2002-05-17,1.7425,1.8055,1.7425,1.7829,4351200
2002-05-20,1.7829,1.8055,1.7719,1.7954,2336000
2002-05-21,1.8979,1.9021,1.7173,1.7215,3872000
2002-05-22,1.7182,1.8055,1.7048,1.7845,1847200
2002-05-23,1.7845,1.9063,1.7845,1.8819,2157600
2002-05-24,1.8761,1.9903,1.8761,1.9701,2212000
2002-05-28,1.9777,2.0398,1.9567,2.0331,2082400
2002-05-29,2.0331,2.0331,1.9735,1.9819,4728000
2002-05-30,1.9819,1.9819,1.9441,1.9533,3941600
2002-05-31,1.9533,2.0407,1.9533,2.0314,2708000
2002-06-03,2.0314,2.0314,1.9432,1.9525,1817600
2002-06-04,1.9491,2.0071,1.9231,1.9676,1933600
2002-06-05,1.9735,1.9886,1.9407,1.9525,1752000
2002-06-06,1.9525,1.9861,1.9474,1.9525,1403200
2002-06-07,1.9315,1.9516,1.8945,1.9273,1752000
2002-06-10,1.9273,1.9567,1.8727,1.8895,854400
2002-06-11,1.8996,1.9105,1.8912,1.9105,323200
2002-06-12,1.8903,1.8912,1.8324,1.8811,532000
2002-06-13,1.8811,1.9399,1.8559,1.9281,1297600
2002-06-14,1.9265,1.9265,1.7929,1.8903,718400
2002-06-17,1.8979,1.9693,1.8979,1.9332,936800
2002-06-18,1.9332,1.9441,1.8727,1.8912,260000
2002-06-19,1.8895,1.9441,1.8895,1.9315,905600
2002-06-20,1.9197,1.9197,1.8299,1.8391,509600
2002-06-21,1.8265,1.8265,1.7551,1.7635,1016000
2002-06-24,1.7635,1.7635,1.6712,1.7232,1092800
2002-06-25,1.7232,1.7459,1.6779,1.6779,829600
2002-06-26,1.6586,1.6586,1.5418,1.5914,2882400
2002-06-27,1.6040,1.6796,1.5880,1.6796,1632000
2002-06-28,1.6754,1.7904,1.6653,1.7627,3480000
2002-07-01,1.7551,1.7627,1.6502,1.6577,1088000
2002-07-02,1.6569,1.6569,1.5007,1.5754,1637600
2002-07-03,1.5704,1.6040,1.4486,1.5536,2226400
2002-07-05,1.5620,1.6342,1.5620,1.5964,455200
2002-07-08,1.6040,1.7090,1.5939,1.6636,1433600
2002-07-09,1.6544,1.7157,1.6157,1.6376,2162400
2002-07-10,1.6376,1.6880,1.5914,1.6124,2144000
2002-07-11,1.5998,1.6031,1.4906,1.5477,2443200
2002-07-12,1.5477,1.5477,1.4755,1.4856,1052800
2002-07-15,1.4839,1.4839,1.3269,1.4024,1300000
2002-07-16,1.3814,1.4167,1.3512,1.3596,1246400
2002-07-17,1.3638,1.3982,1.2009,1.3512,6398400
2002-07-18,1.3512,1.3772,1.3403,1.3470,1261600
2002-07-19,1.3394,1.3445,1.3143,1.3252,1353600
2002-07-22,1.3201,1.3831,1.3101,1.3269,999200
2002-07-23,1.3352,1.3772,1.2807,1.3436,2536000
2002-07-24,1.3269,1.4797,1.2588,1.4772,1784800
2002-07-25,1.4780,1.4780,1.3940,1.4259,560800
2002-07-26,1.4268,1.4864,1.4268,1.4730,668800
2002-07-29,1.4747,1.5410,1.4747,1.5368,936000
2002-07-30,1.5368,1.5452,1.4822,1.5074,716800
2002-07-31,1.4906,1.4914,1.4469,1.4696,777600
2002-08-01,1.4612,1.4612,1.3613,1.4016,1011200
2002-08-02,1.3898,1.3898,1.2471,1.2681,1099200
2002-08-05,1.2681,1.3168,1.2681,1.2891,702400
2002-08-06,1.3017,1.3344,1.3017,1.3260,1688800
2002-08-07,1.3285,1.3436,1.2975,1.3344,1560800
2002-08-08,1.3269,1.3310,1.1631,1.2513,4937600
2002-08-09,1.2513,1.3101,1.2513,1.2807,946400
2002-08-12,1.2798,1.3646,1.2765,1.3646,926400
2002-08-13,1.3856,1.4453,1.3655,1.3730,1760800
2002-08-14,1.3730,1.4948,1.3730,1.4528,3224800
2002-08-15,1.5116,1.5746,1.5116,1.5200,3407200
2002-08-16,1.5200,1.6628,1.5200,1.5897,1723200
2002-08-19,1.5897,1.7157,1.5704,1.6754,1722400
2002-08-20,1.7383,1.8055,1.6964,1.7568,5432800
2002-08-21,1.7593,1.8055,1.7232,1.8013,1994400
2002-08-22,1.7803,1.8055,1.7131,1.7215,3035200
2002-08-23,1.7215,1.7224,1.6586,1.6586,1333600
2002-08-26,1.6594,1.7425,1.6569,1.7350,2069600
2002-08-27,1.7383,1.7669,1.7173,1.7308,1864800
2002-08-28,1.7257,1.7845,1.7098,1.7551,2461600
2002-08-29,1.7484,1.8005,1.7190,1.7996,1388000
2002-08-30,1.8139,1.8467,1.7467,1.7467,778400
2002-09-03,1.7467,1.7467,1.6418,1.6796,1085600
2002-09-04,1.6964,1.7283,1.5620,1.5620,2308800
2002-09-05,1.5536,1.6376,1.5477,1.6107,1292800
2002-09-06,1.6166,1.6628,1.6166,1.6468,1339200
2002-09-09,1.6502,1.6838,1.5620,1.6838,1700000
2002-09-10,1.6896,1.7207,1.6661,1.7131,1416800
2002-09-11,1.7299,1.7543,1.7299,1.7467,599200
2002-09-12,1.7677,1.7703,1.7131,1.7131,1172000
2002-09-13,1.6964,1.6964,1.6460,1.6460,288000
2002-09-16,1.6468,1.6997,1.6460,1.6972,484800
