Date,Open,High,Low,Close,Volume
2017-10-19,33.0000,34.0000,29.1000,32.0700,11508466
2017-10-20,33.3700,33.3700,30.1000,30.6800,2358653
2017-10-23,30.5100,31.3300,30.1900,30.5000,749397
2017-10-24,30.4600,30.9200,30.4391,30.5700,420725
2017-10-25,30.5000,31.1000,29.8800,31.0000,1209556
2017-10-26,31.6800,31.7300,30.7293,31.1000,605260
2017-10-27,31.0100,31.2900,30.0000,30.8900,549507
2017-10-30,30.6900,30.6900,29.5901,29.8500,727811
2017-10-31,29.8000,30.6800,29.8000,30.4800,318131
2017-11-01,30.3700,30.5700,29.7018,29.8000,432016
2017-11-02,29.7200,30.4600,29.6610,29.9500,313443
2017-11-03,29.8900,30.1700,29.3500,29.6300,229235
2017-11-06,29.6300,30.7200,29.3600,30.6100,304773
2017-11-07,30.6100,30.8900,29.7100,29.8100,279004
2017-11-08,29.6900,29.9900,29.4100,29.8800,241255
2017-11-09,29.7000,29.9000,29.0100,29.2200,203720
2017-11-10,29.1600,30.2600,29.1600,30.2000,137450
2017-11-13,29.6500,31.1100,29.2970,30.6800,296302
2017-11-14,30.6800,30.7000,29.6954,29.8800,124368
2017-11-15,29.7600,30.1060,29.5700,29.6300,176042
2017-11-16,29.6900,30.3201,29.6900,29.8700,140668
2017-11-17,29.9800,30.1300,29.5900,29.8300,89796
2017-11-20,29.8700,29.9305,29.0750,29.2600,292392
2017-11-21,29.2500,29.4900,29.0100,29.2100,242299
2017-11-22,29.3900,29.5600,29.2000,29.2800,225395
2017-11-24,29.3100,29.9900,29.2500,29.9200,81203
2017-11-27,29.9500,29.9500,29.0700,29.6900,171398
2017-11-28,29.8100,30.0000,29.5100,29.5500,153280
2017-11-29,29.3900,29.5700,28.5000,28.7100,679707
2017-11-30,28.8000,29.0300,28.4100,28.5300,198117
2017-12-01,28.5300,28.6000,27.5200,27.8000,229235
2017-12-04,28.1200,28.2524,27.2600,27.3600,170640
2017-12-05,27.3100,27.3100,25.8600,26.1500,392924
2017-12-06,26.0000,27.1000,25.6900,26.8700,400126
2017-12-07,26.8900,27.4900,26.5300,26.6200,244095
2017-12-08,26.7700,26.9050,25.6200,25.7600,295793
2017-12-11,25.7700,27.0000,24.6200,26.8600,706957
2017-12-12,27.1500,29.1000,26.5700,29.0000,1164681
2017-12-13,27.4900,28.8900,26.3600,27.3500,707124
2017-12-14,27.5300,28.6000,27.1500,28.1300,401145
2017-12-15,28.2800,29.6900,27.0500,29.4200,795498
2017-12-18,29.5000,29.5000,28.1100,28.3000,276485
2017-12-19,28.2600,28.4900,27.5300,28.0500,203649
2017-12-20,28.2900,29.9800,27.9350,29.5000,410654
2017-12-21,29.6100,29.6100,28.5000,28.6800,162558
2017-12-22,28.5600,29.2900,28.0300,28.4500,182883
2017-12-26,28.4200,29.0620,28.4200,28.8000,84003
2017-12-27,28.8600,29.4600,28.7600,29.1000,190580
2017-12-28,28.9700,30.4900,28.5301,30.2400,482542
2017-12-29,30.3500,30.3900,29.5200,29.6800,324587
2018-01-02,29.9300,30.0800,28.8550,29.2500,231621
2018-01-03,29.3100,29.4200,28.9400,29.1500,256707
2018-01-04,29.2900,29.4900,28.9000,29.0500,198884
2018-01-05,29.0900,29.1350,28.5900,29.0500,205632
2018-01-08,29.0900,29.0900,28.2100,28.8100,205441
2018-01-09,28.8700,28.9200,28.5400,28.7900,88401
2018-01-10,28.7000,28.9900,28.2000,28.8700,162432
2018-01-11,28.8100,29.8600,28.8000,29.6100,219045
2018-01-12,29.5000,29.9500,28.7540,29.2800,108490
2018-01-16,29.4600,29.8700,28.9700,29.0600,169503
2018-01-17,29.2000,29.5900,29.2000,29.5300,160489
2018-01-18,29.4700,29.6444,28.8410,29.0800,107970
2018-01-19,28.8600,29.4900,28.6100,29.1200,224015
2018-01-22,29.1300,29.4000,28.3400,28.8100,131041
2018-01-23,28.6800,29.1400,28.5800,28.8300,87461
2018-01-24,29.0000,29.0000,27.5600,28.1700,277391
2018-01-25,28.1700,28.4600,27.7500,28.0100,89648
2018-01-26,28.0800,28.3650,27.5700,28.1900,143618
2018-01-29,28.2100,28.4370,27.5100,27.6800,127156
2018-01-30,27.5500,27.9400,27.2000,27.8300,196843
2018-01-31,27.9900,28.0010,26.7800,27.1100,234485
2018-02-01,26.7400,27.8000,26.6500,27.4500,149132
2018-02-02,27.2900,27.4800,26.4100,26.5200,169239
2018-02-05,26.0000,27.0200,25.5600,25.8800,179795
2018-02-06,25.6200,26.0300,25.1600,25.7800,76922
2018-02-07,25.7000,26.4700,25.3700,26.3900,74505
2018-02-08,26.4000,27.0200,26.2300,26.5000,150174
2018-02-09,26.6400,26.9000,25.5400,26.4000,175916
2018-02-12,26.5900,27.5000,25.9300,27.1600,98148
2018-02-13,27.1000,28.1600,27.1000,28.1500,88699
2018-02-14,28.8800,30.8750,28.4600,30.1300,422640
2018-02-15,30.4500,30.6300,29.3300,29.8900,151777
2018-02-16,29.9000,30.4800,29.5700,29.9600,116071
2018-02-20,29.9500,30.4851,29.8500,30.2700,82430
2018-02-21,30.2200,31.8800,30.2200,31.0500,167304
2018-02-22,31.1100,31.5000,30.0301,30.0800,151578
2018-02-23,30.3600,31.6400,30.0000,31.6200,149311
2018-02-26,31.6500,31.6500,30.7100,30.8700,153264
