Date,Open,High,Low,Close,Volume
1986-03-13,0.0550,0.0631,0.0550,0.0604,1031788800
1986-03-14,0.0604,0.0636,0.0604,0.0625,308160000
1986-03-17,0.0625,0.0642,0.0625,0.0636,133171200
1986-03-18,0.0636,0.0642,0.0615,0.0620,67766400
1986-03-19,0.0620,0.0625,0.0604,0.0609,47894400
1986-03-20,0.0609,0.0609,0.0588,0.0593,58435200
1986-03-21,0.0593,0.0604,0.0566,0.0577,59990400
1986-03-24,0.0577,0.0577,0.0555,0.0561,65289600
1986-03-25,0.0561,0.0572,0.0555,0.0572,32083200
1986-03-26,0.0572,0.0593,0.0566,0.0588,22752000
1986-03-27,0.0588,0.0598,0.0588,0.0598,16848000
1986-03-31,0.0598,0.0598,0.0582,0.0593,12873600
1986-04-01,0.0593,0.0593,0.0588,0.0588,11088000
1986-04-02,0.0588,0.0604,0.0588,0.0593,27014400
1986-04-03,0.0598,0.0615,0.0598,0.0598,23040000
1986-04-04,0.0598,0.0604,0.0598,0.0598,26582400
1986-04-07,0.0598,0.0604,0.0577,0.0588,16560000
1986-04-08,0.0588,0.0604,0.0588,0.0593,10252800
1986-04-09,0.0593,0.0609,0.0593,0.0604,12153600
1986-04-10,0.0604,0.0615,0.0593,0.0609,13881600
1986-04-11,0.0615,0.0631,0.0615,0.0620,17222400
1986-04-14,0.0620,0.0631,0.0620,0.0625,12153600
1986-04-15,0.0625,0.0625,0.0604,0.0625,9302400
1986-04-16,0.0625,0.0652,0.0620,0.0647,31910400
1986-04-17,0.0647,0.0652,0.0647,0.0652,22003200
1986-04-18,0.0652,0.0652,0.0625,0.0631,21628800
1986-04-21,0.0631,0.0636,0.0615,0.0631,22924800
1986-04-22,0.0631,0.0631,0.0620,0.0620,15552000
1986-04-23,0.0620,0.0625,0.0615,0.0623,15609600
1986-04-24,0.0623,0.0696,0.0620,0.0685,62352000
1986-04-25,0.0690,0.0758,0.0690,0.0728,85795200
1986-04-28,0.0728,0.0739,0.0722,0.0733,28886400
1986-04-29,0.0733,0.0733,0.0706,0.0712,30326400
1986-04-30,0.0712,0.0717,0.0679,0.0696,30902400
1986-05-01,0.0696,0.0696,0.0674,0.0685,54345600
1986-05-02,0.0685,0.0696,0.0679,0.0685,20246400
1986-05-05,0.0685,0.0685,0.0679,0.0679,3254400
1986-05-06,0.0685,0.0696,0.0685,0.0685,9734400
