Date,Open,High,Low,Close,Volume
1989-05-16,2.3600,2.3725,2.2521,2.2752,13134800
1989-05-17,2.3003,2.3956,2.2752,2.3359,8472000
1989-05-18,2.3600,2.3600,2.3118,2.3234,4792800
1989-05-19,2.3359,2.3956,2.3234,2.3234,6996800
1989-05-22,2.3484,2.4438,2.3359,2.4207,9036800
1989-05-23,2.4322,2.4438,2.3956,2.4207,9790800
1989-05-24,2.4082,2.4207,2.3725,2.3956,3296800
1989-05-25,2.3841,2.4207,2.3003,2.3234,4442800
1989-05-26,2.3234,2.4082,2.3003,2.3956,4432800
1989-05-30,2.4082,2.4207,2.3234,2.3359,2760000
1989-05-31,2.3359,2.3841,2.3234,2.3600,2776000
1989-06-01,2.3600,2.4207,2.3600,2.4082,2788800
1989-06-02,2.4082,2.4207,2.3359,2.3484,3970800
1989-06-05,2.3484,2.3600,2.2637,2.2637,3878800
1989-06-06,2.2521,2.2877,2.1914,2.2155,6526000
1989-06-07,2.2396,2.2637,2.2271,2.2521,4446000
1989-06-08,2.2521,2.3600,2.2521,2.3234,5568000
1989-06-09,2.3003,2.4322,2.3003,2.4207,9040800
1989-06-12,2.4322,2.4804,2.4207,2.4563,7034800
1989-06-13,2.3956,2.4082,2.3484,2.3841,3244000
1989-06-14,2.4082,2.4322,2.3600,2.3725,2004800
1989-06-15,2.3956,2.3956,2.2396,2.2521,5796000
1989-06-16,2.2030,2.3003,2.1673,2.2271,5288800
1989-06-19,2.2271,2.2271,2.1076,2.1548,9342800
1989-06-20,2.1548,2.1799,2.0228,2.0228,4832800
1989-06-21,2.0113,2.1192,1.9988,2.0595,4722000
1989-06-22,2.0595,2.0951,2.0344,2.0595,1516800
1989-06-23,2.0951,2.1433,2.0951,2.1317,4204000
1989-06-26,2.1433,2.1673,2.1317,2.1433,3200000
1989-06-27,2.1548,2.1914,2.0469,2.0595,3488800
1989-06-28,2.0113,2.0228,1.9140,1.9265,11654800
1989-06-29,1.9140,1.9265,1.7820,1.8061,12000800
1989-06-30,1.7820,1.8061,1.6857,1.7820,9602000
1989-07-03,1.7820,1.7936,1.7339,1.7820,2114800
1989-07-05,1.7936,1.7936,1.7580,1.7695,5376000
1989-07-06,1.7695,1.7820,1.7098,1.7580,7210800
1989-07-07,1.7580,1.7936,1.7580,1.7695,3834800
1989-07-10,1.7820,1.8302,1.7695,1.7820,4258800
1989-07-11,1.7936,1.8061,1.6982,1.7098,3130800
1989-07-12,1.6982,1.7339,1.6616,1.7098,2792800
1989-07-13,1.7098,1.7454,1.6732,1.6982,5906800
1989-07-14,1.7223,1.7223,1.5412,1.5894,11988800
1989-07-17,1.5528,1.5528,1.4208,1.4574,26336800
1989-07-18,1.4324,1.4324,1.3004,1.3726,16070800
1989-07-19,1.4083,1.4690,1.3852,1.4574,10936800
1989-07-20,1.4574,1.5287,1.4574,1.4690,8356800
1989-07-21,1.4815,1.4815,1.4324,1.4324,2484000
1989-07-24,1.4208,1.4449,1.3852,1.4324,2244000
1989-07-25,1.4449,1.4815,1.3967,1.4083,3010000
1989-07-26,1.4208,1.4208,1.3486,1.3852,5528800
1989-07-27,1.3967,1.4208,1.3486,1.4083,2730800
1989-07-28,1.4083,1.4083,1.3611,1.3852,2794800
1989-07-31,1.3852,1.3967,1.2638,1.2879,7104800
1989-08-01,1.3004,1.3726,1.2166,1.3611,15396800
1989-08-02,1.3370,1.4449,1.3245,1.4324,4630000
1989-08-03,1.4449,1.4931,1.4324,1.4815,3686800
1989-08-04,1.4574,1.5653,1.4449,1.5528,6314000
1989-08-07,1.5778,1.5894,1.4208,1.4324,6810800
1989-08-08,1.4449,1.4449,1.4083,1.4324,2030000
1989-08-09,1.4083,1.4208,1.3726,1.3967,3914000
1989-08-10,1.3967,1.4208,1.3726,1.3967,1910000
1989-08-11,1.4208,1.4449,1.3967,1.4208,1908000
1989-08-14,1.4083,1.4083,1.3852,1.3967,1824000
1989-08-15,1.3967,1.4083,1.3611,1.3967,2280800
1989-08-16,1.3967,1.4449,1.3726,1.3852,2884000
1989-08-17,1.3967,1.3967,1.3486,1.3852,3050800
1989-08-18,1.3852,1.3967,1.3726,1.3852,2258000
1989-08-21,1.3967,1.3967,1.3486,1.3611,2702000
1989-08-22,1.3486,1.3852,1.3486,1.3611,1898000
1989-08-23,1.3852,1.4449,1.3726,1.4208,2872800
1989-08-24,1.4208,1.4324,1.2763,1.3486,13286800
1989-08-25,1.3120,1.3726,1.3004,1.3486,5136800
1989-08-28,1.3370,1.4208,1.3245,1.4208,5834800
1989-08-29,1.4208,1.4208,1.3370,1.3611,6480800
1989-08-30,1.3486,1.3726,1.3370,1.3726,5598800
1989-08-31,1.3726,1.4083,1.3611,1.3852,5014000
1989-09-01,1.3852,1.3852,1.3245,1.3611,5742800
1989-09-05,1.3611,1.4083,1.3486,1.3726,2086000
1989-09-06,1.3852,1.4083,1.3726,1.3967,3452000
1989-09-07,1.4083,1.4449,1.3726,1.3852,4336800
1989-09-08,1.3967,1.4208,1.3852,1.4083,5526800
1989-09-11,1.4208,1.4690,1.4208,1.4449,5466800
1989-09-12,1.4449,1.4815,1.4324,1.4324,4142800
1989-09-13,1.4324,1.4574,1.3726,1.3726,6014000
1989-09-14,1.3852,1.3852,1.3611,1.3611,2342800
1989-09-15,1.3852,1.4083,1.3611,1.3967,4894800
1989-09-18,1.3967,1.3967,1.3486,1.3611,3616000
1989-09-19,1.3245,1.3726,1.3120,1.3370,3592800
1989-09-20,1.3120,1.3245,1.2166,1.2522,26772000
1989-09-21,1.2407,1.2522,1.2282,1.2522,3864000
1989-09-22,1.2282,1.2522,1.2282,1.2407,3140000
1989-09-25,1.2166,1.3004,1.1916,1.2763,5136800
1989-09-26,1.2763,1.2879,1.2407,1.2522,2116800
1989-09-27,1.2282,1.2638,1.2041,1.2407,5484800
1989-09-28,1.2407,1.2638,1.2282,1.2522,2318800
1989-09-29,1.2407,1.2522,1.2282,1.2522,1288000
1989-10-02,1.2282,1.2522,1.2282,1.2282,2268800
1989-10-03,1.2407,1.2522,1.2166,1.2407,2754000
1989-10-04,1.2407,1.2407,1.2041,1.2166,2460800
1989-10-05,1.2041,1.2522,1.2041,1.2407,3430800
1989-10-06,1.2638,1.2638,1.2282,1.2407,2384000
1989-10-09,1.2407,1.2407,1.1916,1.2166,1292800
1989-10-10,1.2282,1.2407,1.2041,1.2041,2446800
1989-10-11,1.2166,1.2166,1.1800,1.2041,3768000
1989-10-12,1.2041,1.2041,1.1675,1.1800,5482800
1989-10-13,1.1916,1.1916,1.1078,1.1444,4198000
1989-10-16,1.1078,1.1559,1.0471,1.1559,9050800
1989-10-17,1.1444,1.1559,1.1078,1.1318,2798000
1989-10-18,1.1203,1.1559,1.0962,1.1318,2750000
1989-10-19,1.1444,1.1559,1.1318,1.1318,1920000
1989-10-20,1.1444,1.1444,1.1078,1.1203,1812000
1989-10-23,1.1318,1.1444,1.0962,1.1078,2528800
1989-10-24,1.0962,1.1078,1.0837,1.0962,1474800
1989-10-25,1.1078,1.1078,1.0711,1.0837,1368800
1989-10-26,1.0711,1.0837,1.0355,1.0471,2174800
1989-10-27,1.0596,1.0711,0.9392,0.9999,4748800
1989-10-30,0.9873,1.0114,0.9758,0.9873,4022000
