Date,Open,High,Low,Close,Volume
1999-01-22,0.4018,0.4485,0.3564,0.3767,271468800
1999-01-25,0.4066,0.4209,0.3767,0.4161,51048000
1999-01-26,0.4209,0.4293,0.3779,0.3838,34320000
1999-01-27,0.3851,0.3947,0.3635,0.3827,24436800
1999-01-28,0.3827,0.3851,0.379,0.3815,22752000
1999-01-29,0.3815,0.3827,0.3635,0.3635,24403200
1999-02-01,0.3635,0.3731,0.3635,0.3708,15470400
1999-02-02,0.3635,0.3731,0.3312,0.3421,26409600
1999-02-03,0.3373,0.354,0.3348,0.3492,7512000
1999-02-04,0.354,0.3779,0.3492,0.3683,18192000
1999-02-05,0.3742,0.3827,0.3647,0.379,13684800
1999-02-08,0.3815,0.3827,0.366,0.366,15408000
1999-02-09,0.3731,0.3756,0.3469,0.3517,8697600
1999-02-10,0.3517,0.3612,0.3421,0.348,14822400
1999-02-11,0.3492,0.3922,0.3492,0.3779,13224000
1999-02-12,0.3827,0.4018,0.3827,0.3995,10972800
1999-02-16,0.4066,0.4234,0.3612,0.4018,21100800
1999-02-17,0.3922,0.397,0.3731,0.3804,6772800
1999-02-18,0.3922,0.397,0.3756,0.3863,7070400
1999-02-19,0.3827,0.4066,0.3779,0.3995,7536000
1999-02-22,0.4066,0.4114,0.3804,0.4018,20524800
1999-02-23,0.4114,0.4293,0.3874,0.4209,13809600
1999-02-24,0.4831,0.5022,0.4437,0.4544,61276800
1999-02-25,0.4735,0.4879,0.433,0.44,14913600
1999-02-26,0.4448,0.4592,0.4161,0.4198,17260800
1999-03-01,0.4305,0.44,0.4018,0.4221,9216000
1999-03-02,0.4209,0.4234,0.4114,0.4186,5524800
1999-03-03,0.4209,0.4209,0.3874,0.3899,6139200
1999-03-04,0.4091,0.4114,0.3779,0.3815,5736000
1999-03-05,0.3851,0.4043,0.3851,0.4029,7876800
1999-03-08,0.3922,0.4209,0.3851,0.4091,7588800
1999-03-09,0.4077,0.4282,0.4077,0.4221,14318400
1999-03-10,0.4282,0.4282,0.4091,0.415,23534400
1999-03-11,0.4077,0.415,0.397,0.397,5428800
1999-03-12,0.3995,0.3995,0.3827,0.3899,9076800
1999-03-15,0.3995,0.4114,0.397,0.4066,10881600
1999-03-16,0.4091,0.4138,0.3899,0.3934,7915200
1999-03-17,0.397,0.4043,0.3863,0.3959,5136000
1999-03-18,0.397,0.4066,0.3874,0.4006,4632000
1999-03-19,0.3995,0.4138,0.3995,0.4018,10531200
1999-03-22,0.4102,0.4114,0.3899,0.3899,3667200
1999-03-23,0.3922,0.3922,0.3587,0.366,16396800
1999-03-24,0.3635,0.366,0.3492,0.3635,6086400
1999-03-25,0.3624,0.3827,0.3612,0.3683,4032000
1999-03-26,0.3731,0.4018,0.3731,0.4006,8827200
1999-03-29,0.4125,0.4221,0.4054,0.4125,6595200
1999-03-30,0.4138,0.4173,0.3756,0.3779,6950400
1999-03-31,0.3899,0.4091,0.3719,0.4043,15360000
1999-04-01,0.4043,0.4066,0.3851,0.3922,3043200
1999-04-05,0.3874,0.397,0.3779,0.3804,9864000
1999-04-06,0.3838,0.3851,0.3635,0.3708,6969600
1999-04-07,0.3731,0.4043,0.3708,0.4018,8928000
1999-04-08,0.4043,0.4209,0.3995,0.4091,13012800
1999-04-09,0.4114,0.4114,0.3995,0.4018,4862400
1999-04-12,0.397,0.397,0.3779,0.3851,3331200
1999-04-13,0.3922,0.3922,0.3635,0.3695,3614400
1999-04-14,0.3683,0.3767,0.3587,0.3587,4828800
1999-04-15,0.3683,0.3683,0.3587,0.3683,3585600
1999-04-16,0.366,0.3863,0.366,0.3804,3892800
1999-04-19,0.3851,0.3851,0.3587,0.3635,3129600
1999-04-20,0.3635,0.3779,0.3528,0.3564,6768000
1999-04-21,0.3564,0.3635,0.354,0.3624,3748800
1999-04-22,0.3635,0.3635,0.3432,0.3469,22718400
1999-04-23,0.3455,0.3469,0.3277,0.33,12604800
1999-04-26,0.33,0.3348,0.3061,0.3134,12350400
1999-04-27,0.3205,0.3492,0.3157,0.3469,22694400
1999-04-28,0.3492,0.3492,0.3337,0.3444,12009600
1999-04-29,0.3455,0.3469,0.3373,0.3444,4814400
1999-04-30,0.348,0.3635,0.3455,0.3492,9931200
1999-05-03,0.3528,0.3528,0.3421,0.3517,3384000
1999-05-04,0.3517,0.3517,0.3253,0.3325,9604800
1999-05-05,0.3348,0.3396,0.3157,0.3396,14457600
1999-05-06,0.3373,0.3444,0.323,0.3331,3561600
1999-05-07,0.323,0.3373,0.323,0.3348,2500800
1999-05-10,0.3325,0.3421,0.3325,0.3348,1968000
1999-05-11,0.3492,0.3635,0.3421,0.3528,17174400
1999-05-12,0.3564,0.3647,0.3517,0.3635,16848000
1999-05-13,0.3635,0.3731,0.3624,0.3635,6993600
1999-05-14,0.3635,0.3635,0.3396,0.3444,2846400
1999-05-17,0.3396,0.3612,0.3385,0.3612,3576000
1999-05-18,0.3647,0.3827,0.354,0.3779,15153600
1999-05-19,0.3947,0.4091,0.3551,0.3612,45172800
1999-05-20,0.3635,0.3635,0.3193,0.3325,17817600
1999-05-21,0.3277,0.3277,0.3157,0.3253,30350400
1999-05-24,0.3277,0.3348,0.3193,0.3241,16262400
1999-05-25,0.3253,0.33,0.323,0.3264,13008000
1999-05-26,0.3253,0.3421,0.3253,0.3253,10473600
1999-05-27,0.3277,0.3277,0.323,0.323,8232000
1999-05-28,0.3277,0.3277,0.323,0.3264,8865600
1999-06-01,0.3253,0.3277,0.3205,0.3277,9854400
1999-06-02,0.3277,0.3277,0.3157,0.3157,13012800
1999-06-03,0.3241,0.3264,0.3205,0.3241,4156800
1999-06-04,0.3264,0.3277,0.3241,0.3264,7891200
1999-06-07,0.3283,0.3348,0.3277,0.33,12513600
1999-06-08,0.3312,0.3444,0.33,0.3385,15331200
1999-06-09,0.3396,0.3517,0.3396,0.3444,9518400
